"","yearcountry","country","year4","year3","year2","year1","average","globalaverage","ggf"
"1","X1992_Aruba","Aruba",NA,NA,NA,NA,NA,"0.949288224429655",NA
"2","X1992_Andorra","Andorra","5.09432423152256","4.82703027768122","3.78139347786571","2.5460006409028","4.06218715699307","0.949288224429655","4.27919261237406"
"3","X1992_Afghanistan","Afghanistan",NA,NA,NA,NA,NA,"0.949288224429655",NA
"4","X1992_Angola","Angola","5.59999999999945","0.40000000000029","-0.300000000000111","-1.19999999999966","1.12499999999999","0.949288224429655","1.18509844644487"
"5","X1992_Albania","Albania","-1.42003967816667","9.83654899260354","-9.57564018741698","-29.5889976817695","-7.6870321386874","0.949288224429655","-8.09767986251581"
"6","X1992_Arab World","Arab World","4.36060389822002","1.90021977382028","9.74116676570824","1.39627419714165","4.34956615872255","0.949288224429655","4.58192364214338"
"7","X1992_United Arab Emirates","United Arab Emirates","-2.61890772013091","12.3378913137169","18.3279854910714","0.860081940637485","7.22676275632372","0.949288224429655","7.61282250252883"
"8","X1992_Argentina","Argentina","-2.55690487694628","-7.49618958372456","-2.39895921890113","12.6697100866108","0.0544141017597077","0.949288224429655","0.0573209488534427"
"9","X1992_Armenia","Armenia",NA,NA,NA,"-11.6999984817524",NA,"0.949288224429655",NA
"10","X1992_American Samoa","American Samoa",NA,NA,NA,NA,NA,"0.949288224429655",NA
"11","X1992_Antigua and Barbuda","Antigua and Barbuda","5.4217995139738","5.77288342482856","2.54510196146892","2.03643609394508","3.94405524855409","0.949288224429655","4.15474999800375"
"12","X1992_Australia","Australia","5.7966524833034","3.89599391407944","3.52912895654107","-0.425953257234667","3.19895552417231","0.949288224429655","3.36984641950477"
"13","X1992_Austria","Austria","3.29588024305905","3.88707475113574","4.34564157586416","3.44162738989245","3.74255598998785","0.949288224429655","3.94248647952673"
"14","X1992_Azerbaijan","Azerbaijan",NA,NA,NA,"-0.699999960061689",NA,"0.949288224429655",NA
"15","X1992_Burundi","Burundi","5.03102436337662","1.34950223278265","3.49982213886176","4.99683645651872","3.71929629788494","0.949288224429655","3.91798423510366"
"16","X1992_Belgium","Belgium","4.72320886484977","3.46916685636742","3.13740244848798","1.83307429481971","3.29071311613122","0.949288224429655","3.46650577922035"
"17","X1992_Benin","Benin","3.40524529016393","-2.85416049266212","8.97613436130615","4.22579941890366","3.4382546444279","0.949288224429655","3.62192910008302"
"18","X1992_Burkina Faso","Burkina Faso","5.79559296480244","2.15026727576519","-0.60292848001005","9.06998446083453","4.10322905534803","0.949288224429655","4.32242700346705"
"19","X1992_Bangladesh","Bangladesh","2.15920231230884","2.61235180889176","5.94130714246796","3.33935554092284","3.51305420114785","0.949288224429655","3.70072451205064"
"20","X1992_Bulgaria","Bulgaria","10.9446919833683","-3.28988192891863","-9.11737716831637","-8.44535521832927","-2.47698058304899","0.949288224429655","-2.60930296964043"
"21","X1992_Bahrain","Bahrain","6.99999382457572","0.364005337788115","4.4379973302171","11.2299997232052","5.75799905394653","0.949288224429655","6.06559620752276"
"22","X1992_Bahamas, The","Bahamas, The","2.309707660833","6.72732979931732","-1.59624908649569","-4.1817846383037","0.814750933837732","0.949288224429655","0.858275614160542"
"23","X1992_Bosnia and Herzegovina","Bosnia and Herzegovina",NA,NA,NA,NA,NA,"0.949288224429655",NA
"24","X1992_Belarus","Belarus",NA,NA,NA,"-1.19999999999921",NA,"0.949288224429655",NA
"25","X1992_Belize","Belize","9.23759247080727","13.0908402939421","10.6285755495795","10.4970451406257","10.8635133637386","0.949288224429655","11.4438513869332"
"26","X1992_Bermuda","Bermuda","4.05622489959951","0.443844075644776","0.0192122958719381","-3.53438340376593","0.246224466837573","0.949288224429655","0.259377985000823"
"27","X1992_Bolivia","Bolivia","2.90950543530157","3.79012839888273","4.63578790245245","5.26652207279878","4.15048595235888","0.949288224429655","4.37220840367271"
"28","X1992_Brazil","Brazil","-0.102672710198163","3.27945885212122","-4.30000000000005","1.51206746147132","0.0972134008485818","0.949288224429655","0.102406622506024"
"29","X1992_Barbados","Barbados","6.25","5.0392156862745","-4.8067918611163","-2.91205324719512","0.89259264449077","0.949288224429655","0.940275694483676"
"30","X1992_Brunei Darussalam","Brunei Darussalam","1.09736632083013","-1.07417745073192","1.08942041626226","3.14594125165645","1.06463763450423","0.949288224429655","1.12151147260241"
"31","X1992_Bhutan","Bhutan","4.98728969866839","7.43262644625808","10.8764346909591","-0.407876088864356","5.7221186867553","0.949288224429655","6.02779908093059"
"32","X1992_Botswana","Botswana","19.4499696012127","13.059406065024","6.7728220091704","7.45870876732701","11.6852266106835","0.949288224429655","12.3094612468243"
"33","X1992_Central African Republic","Central African Republic","1.71027295696166","1.97731458927026","-2.14764243654983","-0.552426922206379","0.246879546868928","0.949288224429655","0.260068059958561"
"34","X1992_Canada","Canada","4.73765343697296","2.3754862659096","0.128976310899205","-2.1202435937449","1.28046810500922","0.949288224429655","1.34887178841657"
"35","X1992_Central Europe and the Baltics","Central Europe and the Baltics",NA,NA,NA,"-9.49891251870156",NA,"0.949288224429655",NA
"36","X1992_Switzerland","Switzerland","3.27759625743977","4.33079405050698","3.67462564633168","-0.915816584571118","2.59179984242683","0.949288224429655","2.73025597044988"
"37","X1992_Channel Islands","Channel Islands",NA,NA,NA,NA,NA,"0.949288224429655",NA
"38","X1992_Chile","Chile","7.31120145064286","10.5603252257247","3.69757990057602","7.96998837207263","7.38477373725405","0.949288224429655","7.77927456299263"
"39","X1992_China","China","11.2805836983127","4.06320320232861","3.83902489760011","9.17893670154459","7.0904371249465","0.949288224429655","7.46921424123483"
